,accuracy,beta0,beta1,derivaive_old,derivativeX0,derivativeX0M,derivativeX1,derivativeX1M,logloss,loglossM
0,0.7142857142857143,0.0,0.0,0.0,-1.5,-0.21428571428571427,17.215,2.459285714285714,4.852030263919604,0.6931471805599434
1,0.2857142857142857,-0.015,0.17215,-0.5359409874450228,-3.1132209552426535,-0.4447458507489505,-12.706339111951051,-1.815191301707293,5.399960970298292,0.7714229957568988
2,0.5714285714285714,-0.04598220955242653,0.04336510888048947,-0.09197295874929878,-2.1208976784254916,-0.3029853826322131,2.9004940957858403,0.4143562993979772,4.347403329830776,0.6210576185472537
3,0.5714285714285714,-0.06673136424115718,0.07193639874954298,-0.17498204185230432,-2.4324548475317718,-0.347493549647396,-3.551071579032151,-0.5072959398617358,4.315846310170865,0.616549472881552
4,0.7142857142857143,-0.09038859907406332,0.03570631897172604,-0.06915944677009211,-1.9368965707402055,-0.2766995101057436,5.8580986689593715,0.8368712384227673,4.290607558271245,0.6129439368958921
5,0.5714285714285714,-0.10885367879072474,0.0939302424716025,-0.24167956116761435,-2.5729685648440674,-0.36756693783486677,-6.6317771878879155,-0.947396741126845,4.324320113556761,0.6177600162223944
6,0.8571428571428571,-0.13349482765125817,0.026673168168007327,-0.04593456475181001,-1.7221263129479096,-0.24601804470684424,9.565764247525392,1.3665377496464846,4.2811013607562165,0.6115859086794595
7,0.5714285714285714,-0.14938114250422468,0.12206407896158117,-0.33160899512840714,-2.7166796157350985,-0.3880970879621569,-9.30918147055307,-1.3298830672218673,4.444163751498267,0.6348805359283238
8,0.8571428571428571,-0.1750541272365334,0.027751623466434658,-0.04631028869273464,-1.6687416052883,-0.23839165789832856,9.864280637637371,1.4091829482339102,4.200163313964052,0.6000233305662931
9,0.5714285714285714,-0.18999100201705107,0.12611691360814403,-0.3391807505453352,-2.6894152484511205,-0.3842021783501601,-9.395606133027055,-1.3422294475752936,4.3722988144950925,0.6246141163564418
10,0.8571428571428571,-0.21498524448139178,0.030899683141792048,-0.051041898280570173,-1.6518583069719452,-0.23597975813884933,9.411913568163959,1.3445590811662798,4.103525947374088,0.5862179924820126
